c_ele,c_mit,c_soc,c_trn,n_ver,c_sit,c_tip_loc,f_eve_pre,n_wei,lunghezzaCoda,c_dir,d_agg,n_prg_str,n_prg_ram,c_str,c_ram,t_des_str,t_des_aut,t_des_ram,t_des_dir_it,c_fra,c_fra_cau,t_des_dir_en,c_pnt_dtx_pls_pri,c_unv_pnt_pri,locpri,c_pnt_dtx_pls_sec,c_unv_pnt_sec,locsec,n_km_ini,n_km_fin,kmrel,n_per,d_time_sta,n_vel_med,c_reg,c_reg2,c_grp_tip,t_des_fra_it,t_des_fra_en,t_des_fra_cau_it,t_des_fra_cau_en,t_des_it,t_des_en,t_des_cpt,n_ico_eve,n_ico_cau,n_crd_lat,n_crd_lon,approfondimento,fapp,fcom,n_crd_lat_ini,n_crd_lon_ini,n_crd_lat_fin,n_crd_lon_fin,eventIntersections,filterIntersections,t_url_mit,fino_al,category
IT492_602904_711231,IT492,2,1,2,602904,A,E,2,0,N,1779370200000,29,29,A22,A22,A22 BRENNERO-MODENA,BRENNERO-MODENA,A22 Brennero-Modena,Brennero,SFC,,Brennero,11024,816,Campogalliano,0,0,,312.1,0.0,0.0,0.0,0.0,0.0,8,8,D,Stazione di Rifornimento Chiusa,Fuel station closed,,,L'area di servizio Campogalliano ha la Stazione di rifornimento chiusa,"Campogalliano rest areahas the filling station closed ,",Brennero,60,0,44.70365,10.84832,{},False,False,44.70365,10.84832,0.0,0.0,"[{'lat': 44.67577, 'lon': 10.84702, 'type': 'D', 'radius': 10}, {'lat': 44.67456, 'lon': 10.84673, 'type': 'S', 'radius': 10}]",[],www.autobrennero.it,,closure
20260521_T02_SIV_E_00301_00001,IT402,6,2,1,20260521_T02_E_00099,A,E,2,0,N,1779347924000,5,5,A04,A04,A4 MILANO-BRESCIA️,TORINO-TRIESTE,A4 Torino-Trieste,Torino,006,003,Torino,3728,0,Brianza Nord,0,0,,148.4,0.0,0.0,0.0,0.0,0.0,3,3,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Brianza nord ha il camper service chiuso per un guasto all'impianto,"Brianza Nord rest areahas camper service closed , due to a breakdown in the equipment",Torino,78,0,45.57526,9.39445,{},False,False,45.57526,9.39445,0.0,0.0,"[{'lat': 45.57526, 'lon': 9.39445, 'type': '1', 'radius': 30}]",[],,,service disruption
20260519_T02_SIV_E_00305_00001,IT402,6,2,1,20260519_T02_E_00117,A,E,2,0,P,1779181306000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Napoli,006,,Napoli,10127,0,San Zenone Ovest,0,0,,15.1,0.0,0.0,0.0,0.0,0.0,3,3,D,Camper Service chiuso,Problems in service area,,,L'area di servizio S. Zenone ovest ha il camper service chiuso,"S. Zenone Ovest rest areahas camper service closed ,",Napoli,78,0,45.32133,9.3757,{},False,False,45.32133,9.3757,0.0,0.0,"[{'lat': 45.32133, 'lon': 9.3757, 'type': '1', 'radius': 23}]",[],,,closure
20251114_T09_SIV_E_00093_00001,IT409,6,9,9,20251114_T09_E_00035,A,E,2,0,N,1779176937000,33,33,A23,A23,A23 UDINE-TARVISIO,PALMANOVA-TARVISIO,A23 Palmanova-Udine-Tarvisio,Autostrada Torino-Trieste,006,,Autostrada Torino-Trieste,334,0,Campiolo Ovest,0,0,,67.5,0.0,0.0,0.0,0.0,0.0,5,5,D,Camper Service chiuso,Problems in service area,,,L'area di servizio Campiolo ovest ha il camper service chiuso fino alle 10:00 del 30/06/2026,"Campiolo Ovest rest areahas camper service closed until 10:00 of 30/06/2026,",Autostrada Torino-Trieste,78,0,46.39845,13.16735,{},False,False,46.39845,13.16735,0.0,0.0,"[{'lat': 46.39845, 'lon': 13.16735, 'type': '1', 'radius': 48}]",[],,202606300800P02:303,closure
20260518_T06_SIV_E_00559_00001,IT406,6,6,1,20260518_T06_E_00160,A,E,2,0,P,1779114906000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Napoli,006,003,Napoli,10146,0,Casilina Ovest,0,0,,658.8,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Casilina ovest ha il camper service chiuso per un guasto all'impianto,"Casilina Ovest rest areahas camper service closed , due to a breakdown in the equipment",Napoli,78,0,41.4967,13.68387,{},False,False,41.4967,13.68387,0.0,0.0,"[{'lat': 41.4967, 'lon': 13.68387, 'type': '1', 'radius': 23}]",[],,,service disruption
20260511_T04_SIV_E_00052_00001,IT404,6,4,1,20260511_T04_E_00014,A,E,2,0,P,1778477722000,44,44,A11,A11,A11 FIRENZE-PISA NORD,FIRENZE-PISA NORD,A11 Firenze-Pisa nord,Pisa,006,093,Pisa,10032,0,Peretola Nord,0,0,,3.0,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Interruzione Erogazione Idrica,No Water Supply,L'area di servizio Peretola nord ha il camper service chiuso per Interruzione Erogazione Idrica,"Peretola Nord rest areahas camper service closed , due to No Water Supply",Pisa,78,0,43.81908,11.17362,{},False,False,43.81908,11.17362,0.0,0.0,"[{'lat': 43.81908, 'lon': 11.17362, 'type': '1', 'radius': 37}]",[],,,service disruption
20260505_T04_SIV_E_00097_00001,IT404,6,4,1,20260505_T04_E_00026,A,E,2,0,P,1777954906000,1,114,A01,VAR,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 DIRETTISSIMA,Firenze,006,003,Firenze,25933,0,Badia Nuova Ovest,0,0,,17.9,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Badia Nuova Ovest ha il camper service chiuso per un guasto all'impianto,"Badia Nuova Ovest rest areahas camper service closed , due to a breakdown in the equipment",Firenze,78,0,44.15099,11.19397,{},False,False,44.15099,11.19397,0.0,0.0,"[{'lat': 44.14759, 'lon': 11.1931, 'type': '1', 'radius': 26}]",[],,,service disruption
20260504_T04_SIV_E_00128_00001,IT404,6,4,1,20260504_T04_E_00030,A,E,2,0,N,1777878333000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,003,Milano,24988,0,Arno Est,0,0,,330.8,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Arno Est ha il camper service chiuso per un guasto all'impianto,"Arno Est rest areahas camper service closed , due to a breakdown in the equipment",Milano,78,0,43.58185,11.52335,{},False,False,43.58185,11.52335,0.0,0.0,"[{'lat': 43.58331, 'lon': 11.52186, 'type': '1', 'radius': 55}]",[],,,service disruption
20260503_T04_SIV_E_00055_00001,IT404,6,4,1,20260503_T04_E_00012,A,E,2,0,N,1777789418000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,003,Milano,3561,0,Montepulciano Est,0,0,,395.0,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Montepulciano est ha il camper service chiuso per un guasto all'impianto,"Montepulciano Est rest areahas camper service closed , due to a breakdown in the equipment",Milano,78,0,43.13587,11.86513,{},False,False,43.13587,11.86513,0.0,0.0,"[{'lat': 43.13587, 'lon': 11.86513, 'type': '1', 'radius': 35}]",[],,,service disruption
20260423_T08_SIV_E_00106_00001,IT408,6,8,1,20260423_T08_E_00061,A,E,2,0,P,1776936040000,10,10,A14,A14,A14 BOLOGNA-TARANTO,BOLOGNA-TARANTO,A14 Bologna-Taranto,Taranto,006,,Taranto,10199,0,San Trifone Ovest,0,0,,517.514,0.0,0.0,0.0,0.0,0.0,17,17,D,Camper Service chiuso,Problems in service area,,,L'area di servizio San Trifone ovest ha il camper service chiuso,"San Trifone Ovest rest areahas camper service closed ,",Taranto,78,0,41.78022,15.38542,{},False,False,41.78022,15.38542,0.0,0.0,"[{'lat': 41.78022, 'lon': 15.38542, 'type': '1', 'radius': 40}]",[],,,closure
20260421_T05_SIV_E_00344_00001,IT405,6,5,1,20260421_T05_E_00113,A,E,2,0,N,1776778840000,40,46,A12,A92,A12 ROMA-CIVITAVECCHIA,GENOVA-ROMA,A12 Roma-Civitavecchia-Tarquinia,Roma,006,003,Roma,10180,0,Tirreno Ovest,0,0,,39.2,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Tirreno ovest ha il camper service chiuso per un guasto all'impianto,"Tirreno Ovest rest areahas camper service closed , due to a breakdown in the equipment",Roma,78,0,42.02957,11.96222,{},False,False,42.02957,11.96222,0.0,0.0,"[{'lat': 42.02966, 'lon': 11.96219, 'type': '1', 'radius': 62}]",[],,,service disruption
20260331_T05_SIV_E_00252_00001,IT405,6,5,4,20260331_T05_E_00087,A,E,2,0,N,1776340896000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,003,Milano,3595,0,PRENESTINA EST,0,0,,566.1,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Prenestina est ha il camper service chiuso per un guasto all'impianto,"Prenestina Est rest areahas camper service closed , due to a breakdown in the equipment",Milano,78,0,41.8918,12.75835,{},False,False,41.8918,12.75835,0.0,0.0,"[{'lat': 41.8918, 'lon': 12.75835, 'type': '1', 'radius': 33}]",[],,,service disruption
20260416_T02_SIV_E_00386_00001,IT402,6,2,1,20260416_T02_E_00153,A,E,2,0,P,1776328305000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Napoli,006,003,Napoli,10126,0,Somaglia Ovest,0,0,,43.5,0.0,0.0,0.0,0.0,0.0,3,3,D,Mancanza di metano,Problems in service area,Guasto Impianto,system fail,L'area di servizio Somaglia ovest e' sprovvista di metano per un guasto all'impianto,"Somaglia Ovest rest areais out of methane , due to a breakdown in the equipment",Napoli,75,0,45.14255,9.63365,{},False,False,45.14255,9.63365,0.0,0.0,"[{'lat': 45.14255, 'lon': 9.63365, 'type': '1', 'radius': 20}]",[],,,service disruption
20260223_T05_SIV_E_00178_00001,IT405,6,5,3,20260223_T05_E_00069,A,E,2,0,P,1776236109000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Napoli,006,003,Napoli,10134,0,Fabro Ovest,0,0,,427.8,0.0,0.0,0.0,0.0,0.0,10,10,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Fabro ovest ha il camper service chiuso per un guasto all'impianto,"Fabro Ovest rest areahas camper service closed , due to a breakdown in the equipment",Napoli,78,0,42.87588,12.01782,{},False,False,42.87588,12.01782,0.0,0.0,"[{'lat': 42.87588, 'lon': 12.01782, 'type': '1', 'radius': 37}]",[],,,service disruption
20260413_T04_SIV_E_00240_00001,IT404,6,4,1,20260413_T04_E_00064,A,E,2,0,P,1776076192000,44,44,A11,A11,A11 FIRENZE-PISA NORD,FIRENZE-PISA NORD,A11 Firenze-Pisa nord,Pisa,006,003,Pisa,145,0,Serravalle Nord,0,0,,35.5,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Serravalle nord ha il camper service chiuso per un guasto all'impianto,"Serravalle Nord rest areahas camper service closed , due to a breakdown in the equipment",Pisa,78,0,43.89142,10.8246,{},False,False,43.89142,10.8246,0.0,0.0,"[{'lat': 43.89142, 'lon': 10.8246, 'type': '1', 'radius': 36}]",[],,,service disruption
IT492_598264_705393,IT492,2,1,2,598264,A,E,2,0,P,1775759220000,29,29,A22,A22,A22 BRENNERO-MODENA,BRENNERO-MODENA,A22 Brennero-Modena,Modena,SFC,,Modena,10066,0,Plose,0,0,,41.8,0.0,0.0,0.0,0.0,0.0,4,4,D,Stazione di Rifornimento Chiusa,Fuel station closed,,,L'area di servizio Plose ha la Stazione di rifornimento chiusa,"Plose rest areahas the filling station closed ,",Modena,60,0,46.72942,11.64225,{},False,False,46.72942,11.64225,0.0,0.0,"[{'lat': 46.7295, 'lon': 11.64233, 'type': '1', 'radius': 41}]",[],www.autobrennero.it,,closure
20250423_T06_SIV_E_00163_00001,IT406,6,6,2,20250423_T06_E_00053,A,E,2,0,N,1774858405000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,003,Milano,3587,0,San Nicola Est,0,0,,737.2,0.0,0.0,0.0,0.0,0.0,15,15,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio San Nicola est ha il camper service chiuso per un guasto all'impianto,"San Nicola Est rest areahas camper service closed , due to a breakdown in the equipment",Milano,78,0,41.04927,14.32257,{},False,False,41.04927,14.32257,0.0,0.0,"[{'lat': 41.04985, 'lon': 14.32246, 'type': '1', 'radius': 22}]",[],,,service disruption
20260206_T05_SIV_E_00437_00001,IT405,6,5,4,20260206_T05_E_00107,A,E,2,0,N,1771709599000,1,2,A01,D18,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Diramazione Roma nord - GRA,Autostrada Milano-Napoli,006,003,Autostrada Milano-Napoli,599,0,Feronia Est,0,0,,4.0,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Feronia est ha il camper service chiuso per un guasto all'impianto,"Feronia Est rest areahas camper service closed , due to a breakdown in the equipment",Autostrada Milano-Napoli,78,0,42.13567,12.60345,{},False,False,42.13567,12.60345,0.0,0.0,"[{'lat': 42.13567, 'lon': 12.60345, 'type': '1', 'radius': 44}]",[],,,service disruption
20260203_T03_SIV_E_00868_00001,IT403,6,3,1,20260203_T03_E_00196,A,E,2,0,N,1770141534000,34,34,A13,A13,A13 BOLOGNA-PADOVA,BOLOGNA-PADOVA,A13 Bologna-Padova,Bologna,006,003,Bologna,10033,0,Castel Bentivoglio Ovest,0,0,,11.7,0.0,0.0,0.0,0.0,0.0,8,8,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Castel Bentivoglio ovest ha il camper service chiuso per un guasto all'impianto,"Castello Bentivoglio Ovest rest areahas camper service closed , due to a breakdown in the equipment",Bologna,78,0,44.62182,11.41882,{},False,False,44.62182,11.41882,0.0,0.0,"[{'lat': 44.62182, 'lon': 11.41882, 'type': '1', 'radius': 57}]",[],,,service disruption
20260121_T05_SIV_E_00350_00004,IT405,6,5,2,20260121_T05_E_00096,A,E,2,0,P,1769156229000,40,46,A12,A92,A12 ROMA-CIVITAVECCHIA,GENOVA-ROMA,A12 Roma-Civitavecchia-Tarquinia,Ss1 Aurelia,006,092,Ss1 Aurelia,3852,0,Arrone Est,0,0,,8.5,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Interruzione Energia Elettrica,No Power Supply,L'area di servizio Arrone est ha il camper service chiuso per Interruzione Energia Elettrica,"Arrone Est rest areahas camper service closed , due to No Power Supply",Ss1 Aurelia,78,0,41.8739,12.25322,{},False,False,41.8739,12.25322,0.0,0.0,"[{'lat': 41.87385, 'lon': 12.25306, 'type': '1', 'radius': 34}]",[],,,service disruption
20260120_T05_SIV_E_00195_00001,IT405,6,5,1,20260120_T05_E_00066,A,E,2,0,P,1768905783000,1,3,A01,D19,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Diramazione Roma sud - GRA,G.R.A.,006,003,G.R.A.,611,0,Frascati Est,0,0,,14.5,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio Frascati est ha il camper service chiuso per un guasto all'impianto,"Frascati Est rest areahas camper service closed , due to a breakdown in the equipment",G.R.A.,78,0,41.8321,12.65687,{},False,False,41.8321,12.65687,0.0,0.0,"[{'lat': 41.8321, 'lon': 12.65687, 'type': '1', 'radius': 41}]",[],,,service disruption
20251028_T06_SIV_E_00250_00003,IT406,6,6,1,20251027_T06_E_00101,A,E,2,0,N,1767481567000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,RWK,Milano,3586,0,Teano Est,0,0,,708.4,0.0,0.0,0.0,0.0,0.0,15,15,D,Camper Service chiuso,Problems in service area,Lavori,Roadworks,L'area di servizio Teano est ha il camper service chiuso per lavori,"Teano Est rest areahas camper service closed , due to roadworks",Milano,78,20,41.23397,14.09335,{},False,False,41.23397,14.09335,0.0,0.0,"[{'lat': 41.23397, 'lon': 14.09335, 'type': '1', 'radius': 35}]",[],,,closure
20250526_T03_SIV_E_00648_00001,IT403,6,3,2,20250526_T03_E_00175,A,E,2,0,N,1766763051000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,,Milano,3549,0,Cantagallo Est,0,0,,198.9,0.0,0.0,0.0,0.0,0.0,8,8,D,Camper Service chiuso,Problems in service area,,,L'area di servizio Cantagallo est ha il camper service chiuso,"Cantagallo Est rest areahas camper service closed ,",Milano,78,0,44.4566,11.2804,{},False,False,44.4566,11.2804,0.0,0.0,"[{'lat': 44.4566, 'lon': 11.2804, 'type': '1', 'radius': 24}]",[],,,closure
20250219_T09_SIV_E_00236_00003,IT409,6,9,2,20250930_T09_E_00072,A,E,2,0,N,1761291565000,33,33,A23,A23,A23 UDINE-TARVISIO,PALMANOVA-TARVISIO,A23 Palmanova-Udine-Tarvisio,Autostrada Torino-Trieste,006,RWK,Autostrada Torino-Trieste,10069,0,Ledra Ovest,0,0,,36.9,0.0,0.0,0.0,0.0,0.0,5,5,D,Camper Service chiuso,Problems in service area,Lavori,Roadworks,L'area di servizio Ledra ovest ha il camper service chiuso fino alle 14:00 del 31/12/2026 per lavori,"Ledra Ovest rest areahas camper service closed until 14:00 of 31/12/2026, due to roadworks",Autostrada Torino-Trieste,78,20,46.186,13.11927,{},False,False,46.186,13.11927,0.0,0.0,"[{'lat': 46.186, 'lon': 13.11927, 'type': '1', 'radius': 38}]",[],,202612311300P01:303,closure
20250630_T04_SIV_E_00658_00001,IT404,6,4,1,20250630_T04_E_00126,A,E,2,0,P,1751287591000,44,99,A11,R11,A11 FIRENZE-PISA NORD,FIRENZE-PISA NORD,Raccordo A1-A11 - Firenze nord,Autostrada Milano-Napoli,006,093,Autostrada Milano-Napoli,836,0,Firenze Nord,0,0,,4.6,0.0,0.0,0.0,0.0,0.0,9,9,D,Camper Service chiuso,Problems in service area,Interruzione Erogazione Idrica,No Water Supply,L'area di servizio Firenze nord ha il camper service chiuso per Interruzione Erogazione Idrica,"Firenze Nord rest areahas camper service closed , due to No Water Supply",Autostrada Milano-Napoli,78,0,43.83248,11.16032,{},False,False,43.83248,11.16032,0.0,0.0,"[{'lat': 43.83248, 'lon': 11.16032, 'type': '1', 'radius': 54}]",[],,,service disruption
20240623_T05_SIV_E_00036_00001,IT405,6,5,1,20240623_T05_E_00007,A,E,2,0,N,1719125211000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Milano,006,003,Milano,3607,0,La Macchia Est,0,0,,610.9,0.0,0.0,0.0,0.0,0.0,12,12,D,Camper Service chiuso,Problems in service area,Guasto Impianto,system fail,L'area di servizio La Macchia est ha il camper service chiuso per un guasto all'impianto,"La Macchia Est rest areahas camper service closed , due to a breakdown in the equipment",Milano,78,0,41.68609,13.18865,{},False,False,41.68609,13.18865,0.0,0.0,"[{'lat': 41.68609, 'lon': 13.18865, 'type': '1', 'radius': 24}]",[],,,service disruption
20260522_T06_SIV_E_00384_00001,IT406,6,6,1,20260522_T06_E_00098,T,E,0,0,B,1779444384000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,in entrambe le direzioni,SMO,FIR,both directions,3602,721,Cassino,3604,719,Pontecorvo,669.0,669.0,0.0,5.9,-1.4,111.0,12,12,V,Fumo,Smoke,Incendio,Fire,Fumo tra Pontecorvo e Cassino per incendio,Smoke  between Pontecorvo and Cassino  due to a fire,entrambe,38,31,41.45895,13.79573,{},False,False,41.49975,13.6773,41.45895,13.79573,"[{'lat': 41.46117, 'lon': 13.78534, 'type': 'D', 'radius': 10}, {'lat': 41.49996, 'lon': 13.67709, 'type': 'S', 'radius': 10}]",[],,,other
20260522_T01_SIV_E_00340_00001,IT401,6,1,1,20260522_T01_E_00112,T,E,0,0,N,1779443903000,23,23,A07,A07,A7 SERRAVALLE️-GENOVA,MILANO-GENOVA,A7 Milano-Serravalle-Genova,Milano,COW,,Milano,69,553,Busalla,68,555,Genova Bolzaneto,116.0,118.0,2.0,11.4,-0.8,67.0,7,7,C,Coda per safety car,Convoy service,,,Scorta veicoli tra Busalla e Genova Bolzaneto,Convoy service between Busalla and Genova Bolzaneto,Milano,79,41,44.56776,8.9502,{},False,False,44.4681,8.90755,44.56776,8.9502,"[{'lat': 44.56749, 'lon': 8.95017, 'type': 'S', 'radius': 10}]",[],,,other
20260522_T06_SIV_E_00348_00001,IT406,6,6,1,20260522_T06_E_00098,T,E,0,0,P,1779443256000,1,1,A01,A01,A1 MILANO-NAPOLI,MILANO-NAPOLI,A1 Milano-Napoli,Napoli,FIR,,Napoli,3602,721,Cassino,3604,719,Pontecorvo,669.0,669.0,0.0,5.9,-1.4,111.0,12,12,M,Incendio,Fire,,,Incendio tra Pontecorvo e Cassino,Fire  between Pontecorvo and Cassino,Napoli,31,0,41.45895,13.795969732853823,{},False,False,41.49975,13.6773,41.45895,13.79573,"[{'lat': 41.46117, 'lon': 13.78534, 'type': 'D', 'radius': 10}]",[],,,other
